Entretien,Thème,Code,Verbatim,Fichier
LAU6,1: Perception de l'utilisation de ChatGPT,1: Différence d'approche,"La situation de ton copain je trouve ça assez intéressant aussi, le fait qu'il ait une approche, un aspect complètement différent.",Lau6_segment_12.txt
LAU6,1: Perception de l'utilisation de ChatGPT,2: Compréhension de ChatGPT,lui comprend vraiment comment ça fonctionne.,Lau6_segment_12.txt
LAU6,1: Perception de l'utilisation de ChatGPT,3: Utilisation efficace,"Il l'utilise beaucoup aussi. Et puis, je pense qu'il y a une utilisation différente aussi, parce qu'il sait exactement quoi demander.",Lau6_segment_12.txt
LAU6,1: Perception de l'utilisation de ChatGPT,4: Accès différencié,Pas tout le monde a les mêmes accès à ChatGPT.,Lau6_segment_12.txt
LAU6,1: Perception de l'utilisation de ChatGPT,5: Perception positive de l'utilisation par autrui,on lui parle un petit peu comme un humain.,Lau6_segment_12.txt
LAU6,2: Impact de ChatGPT sur la qualité du travail,1: Changement de standards,ça change les standards.,Lau6_segment_12.txt
LAU6,2: Impact de ChatGPT sur la qualité du travail,2: Exigence accrue,"je pense que ça rend le truc plus exigeant aussi, parce que tu te dis que tu as plus de temps pour peaufiner certains aspects.",Lau6_segment_12.txt
LAU6,2: Impact de ChatGPT sur la qualité du travail,3: Satisfaction antérieure,"Avant, on devait tout faire nous-mêmes, du coup au bout d'un moment t'as fait un travail pendant 3 semaines, au bout d'un moment t'as envie de le donner, même si c'est pas parfait",Lau6_segment_12.txt
LAU6,2: Impact de ChatGPT sur la qualité du travail,4: Perception de qualité,"j'aurais été en mode, c'est ce que je veux.",Lau6_segment_12.txt
LAU6,2: Impact de ChatGPT sur la qualité du travail,5: Standards personnels,des standards que tu te mettrais toi-même ?,Lau6_segment_12.txt
LAU6,3: Influence de ChatGPT sur les standards académiques,1: Capacité de ChatGPT à écrire de manière académique,ChatGPT sait très bien comment écrire de manière académique.,Lau6_segment_12.txt
LAU6,3: Influence de ChatGPT sur les standards académiques,2: Risque de normalisation,on va commencer à baser notre manière d'écrire sur celle de ChatGPT.,Lau6_segment_12.txt
LAU6,3: Influence de ChatGPT sur les standards académiques,3: Interaction entre ChatGPT et l'utilisateur,Les deux vont s'influencer aussi.,Lau6_segment_12.txt
LAU6,3: Influence de ChatGPT sur les standards académiques,4: Changement dans les standards,"Ça va modifier notre manière de travailler, son utilisation.",Lau6_segment_12.txt
LAU6,3: Influence de ChatGPT sur les standards académiques,5: Adaptation future,Ça va changer les standards académiques.,Lau6_segment_12.txt
LAU6,4: Sentiment d'intégrité dans l'utilisation de ChatGPT,1: Sentiment de triche,inconsciemment dans ma tête c'est un peu de la triche.,Lau6_segment_12.txt
LAU6,4: Sentiment d'intégrité dans l'utilisation de ChatGPT,2: Perception du travail,"C'est comme une aide un peu folle, tu vois.",Lau6_segment_12.txt
LAU6,4: Sentiment d'intégrité dans l'utilisation de ChatGPT,3: Comparaison avec l'aide humaine,"quand ma mère me reformulait tous mes paragraphes et qu'elle me réalisait tout, bah j'avais pas du tout ce sentiment-là.",Lau6_segment_12.txt
LAU6,4: Sentiment d'intégrité dans l'utilisation de ChatGPT,4: Perception de l'aide,C'est un humain.,Lau6_segment_12.txt
LAU6,4: Sentiment d'intégrité dans l'utilisation de ChatGPT,5: Différence de perception entre l'aide humaine et ChatGPT,"Alors que techniquement, c'est le même type d'aide dont j'ai bénéficié, quoi.",Lau6_segment_12.txt
LAU6,5: Réglementation et légitimité des diplômes universitaires,1: Visibilité de l'utilisation de ChatGPT,"si on réglemente plus l'utilisation ou qu'on la rend visible, je pense que ça cassera cette vision que ce n'est pas 100% notre travail.",Lau6_segment_12.txt
LAU6,5: Réglementation et légitimité des diplômes universitaires,2: Perception actuelle de l'utilisation de ChatGPT,J'ai l'impression que c'est encore un peu un truc d'étudiant.,Lau6_segment_12.txt
LAU6,5: Réglementation et légitimité des diplômes universitaires,3: Légitimité des diplômes,"Si on le rend visible à l'oeil du public, est-ce que tu crois que les diplômes universitaires perdraient de légitimité?",Lau6_segment_12.txt
LAU6,5: Réglementation et légitimité des diplômes universitaires,4: Adaptation des critères d'évaluation,les enseignants vont juste adapter leurs critères d'évaluation.,Lau6_segment_12.txt
