Thème,Code,Verbatim,Fichier
1: Représentations de la profession,1: Perception du rôle,Je vois mon rôle comme étant très important dans l'entreprise.,groupe_4_part_1.txt
1: Représentations de la profession,2: Niveau de satisfaction,"Je suis assez satisfait de mon travail, mais il y a toujours place pour l'amélioration.",groupe_4_part_1.txt
2: Défis quotidiens,1: Gestion du temps,La gestion du temps est vraiment un défi pour moi chaque jour.,groupe_4_part_1.txt
2: Défis quotidiens,2: Communication avec l'équipe,"Parfois, la communication avec mon équipe peut être vraiment difficile.",groupe_4_part_1.txt
3: Outils et ressources,1: Utilisation des technologies,Je pense que les technologies que nous utilisons sont vraiment utiles pour notre travail.,groupe_4_part_1.txt
3: Outils et ressources,2: Accès à la formation,J'aimerais avoir plus d'accès à des formations pour améliorer mes compétences.,groupe_4_part_1.txt
4: Perspectives d'avenir,1: Projet de carrière,J'ai des projets de carrière assez clairs pour les prochaines années.,groupe_4_part_1.txt
4: Perspectives d'avenir,2: Impact du secteur,Je pense que le secteur dans lequel je travaille va beaucoup évoluer dans le futur.,groupe_4_part_1.txt
1: Interaction avec ChatGPT**,1: Compréhension du fonctionnement de ChatGPT,Et ça je sais parce qu'on m'a appris par des vidéos ou des forums de recherche que ChatGPR fonctionne comme ça.,groupe_4_part_6.txt
1: Interaction avec ChatGPT**,2: Apport de sources pour une meilleure interprétation,"J'ai supposé du coup qu'en lui fournissant l'information, il pourrait l'interpréter mieux.",groupe_4_part_6.txt
1: Interaction avec ChatGPT**,3: Limitations de ChatGPT,"Dans ses phrases, on lisait des choses qui n'avaient pas de sens.",groupe_4_part_6.txt
1: Interaction avec ChatGPT**,4: Stratégie d'interaction,"Faudrait réessayer maintenant le prompt. Par curiosité, il faudrait réessayer d'avoir le même genre de discussion avec lui, mais avec un apport et un angle d'attaque différent.",groupe_4_part_6.txt
1: Interaction avec ChatGPT**,5: Personnalisation de l'interaction,"Tu aurais pu lui dire, genre « Tu es un chercheur de l'histoire de la bio-indication ».",groupe_4_part_6.txt
2: Vérification et Validation**,1: Fact-checking,"Faire du fact-checking, c'est-à-dire vérifier l'information.",groupe_4_part_6.txt
2: Vérification et Validation**,2: Utilisation de sources externes,Soit tu prends l'information qu'ils te donnent et tu vas regarder sur internet ce que le monde scientifique en dit.,groupe_4_part_6.txt
2: Vérification et Validation**,3: Consultation de bases de données académiques,"Sur Google Scholar ou sur n'importe quelle base de données, tu mets une info.",groupe_4_part_6.txt
2: Vérification et Validation**,4: Contre-vérification,Tu vérifies qu'il a bien compris la source.,groupe_4_part_6.txt
2: Vérification et Validation**,5: Importance de la vérification,"C'est du fact-checking, on n'est pas sur Twitter non plus.",groupe_4_part_6.txt
3: Utilisation de ChatGPT comme outil**,1: Utilisation courante dans le milieu académique,moi je ne connais personne qui n'utilise pas de ChatGPT dans le milieu académique.,groupe_4_part_6.txt
3: Utilisation de ChatGPT comme outil**,2: Avantage comparatif,Est-ce qu'utiliser une calculatrice te donne un avantage ? Oui.,groupe_4_part_6.txt
3: Utilisation de ChatGPT comme outil**,3: Perception de ChatGPT comme un outil supplémentaire,"c'est un outil supplémentaire, donc oui.",groupe_4_part_6.txt
3: Utilisation de ChatGPT comme outil**,4: Utilité pour des tâches spécifiques,je le vois comme une façon d'apprendre et ou comme une façon de faire ce que je ne sais pas faire,groupe_4_part_6.txt
3: Utilisation de ChatGPT comme outil**,5: Délestage de charge mentale,"ça me déleste, ça me donne moins de charge mentale.",groupe_4_part_6.txt
4: Limitations et Biais de ChatGPT**,1: Risques d'interprétation erronée,"Il va te dire n'importe quoi, mais pas parce qu'il a envie de te dire n'importe quoi, mais parce qu'il sait pas.",groupe_4_part_6.txt
4: Limitations et Biais de ChatGPT**,2: Nécessité de corriger ChatGPT,"Le fait de lui redonner les sources, c'est voilà, mets tes pendules à l'heure.",groupe_4_part_6.txt
4: Limitations et Biais de ChatGPT**,3: Biais dans les réponses,Il mélangeait les sources.,groupe_4_part_6.txt
4: Limitations et Biais de ChatGPT**,4: Limite dans la fiabilité,On lisait des choses qui n'avaient pas de sens.,groupe_4_part_6.txt
5: Impact de l'IA sur l'apprentissage et la recherche**,1: Changement de paradigme dans l'apprentissage,Ça me fait apprendre différemment.,groupe_4_part_6.txt
5: Impact de l'IA sur l'apprentissage et la recherche**,2: Réduction du temps consacré à la mémorisation,Je passe moins de temps à purement apprendre et à mémoriser le concept.,groupe_4_part_6.txt
5: Impact de l'IA sur l'apprentissage et la recherche**,3: Utilisation de l'IA pour optimiser le temps,"Le temps que je le mets à profit, j'apprends d'autres choses, ou des choses différemment.",groupe_4_part_6.txt
5: Impact de l'IA sur l'apprentissage et la recherche**,4: Valeur accordée à la capacité de retrouver l'information,Savoir la retrouver [l'information] plutôt que la savoir.,groupe_4_part_6.txt
5: Impact de l'IA sur l'apprentissage et la recherche**,5: Perception positive de l'utilisation de l'IA,"Pour moi, c'est clairement une plus-value.",groupe_4_part_6.txt
