Thème,Code,Verbatim,Fichier
X : Titre,X : Nom du code,citation exacte,groupe_5_part_1.txt
1: Perception et utilisation de ChatGPT**,1: Définition de ChatGPT,"c'est un outil qui permet de communiquer avec Internet avant2021, c'est d’une certaine manière Google mais de façon beaucoup plus proche de l'humain",groupe_5_part_2.txt
1: Perception et utilisation de ChatGPT**,2: Utilisation de ChatGPT,"j'utilise chatGPT très régulièrement, on peut même dire quotidiennement",groupe_5_part_2.txt
1: Perception et utilisation de ChatGPT**,3: Perception de l'IA,c'est un formidable outil et ça va probablement être une énorme révolution dans les années à venir,groupe_5_part_2.txt
2: Impact de ChatGPT sur l'apprentissage et la performance académique**,1: Impact sur l'apprentissage,va avoir un énorme impact sur la manière dont on va apprendre dans le futur,groupe_5_part_2.txt
2: Impact de ChatGPT sur l'apprentissage et la performance académique**,2: Gain de temps,je pourrais emmagasiner plus d'informations plus vite,groupe_5_part_2.txt
2: Impact de ChatGPT sur l'apprentissage et la performance académique**,3: Avantage compétitif,j'aurais un énorme avantage parce que j'aurais un accès plus rapide aux informations,groupe_5_part_2.txt
3: Limites et frustrations liées à ChatGPT**,1: Limites de fonctionnalité,il y a des choses que chatGPT ne peut plus dire,groupe_5_part_2.txt
3: Limites et frustrations liées à ChatGPT**,2: Références imprécises,c'est assez frustrant de demander de la littérature et de tomber sur des choses qui ne sont pas nécessairement claires ou précises,groupe_5_part_2.txt
3: Limites et frustrations liées à ChatGPT**,3: Dépendance à ChatGPT,Une dépendance c'est un mot un peu fort,groupe_5_part_2.txt
4: Stratégies d'utilisation et interaction avec ChatGPT**,1: Formulation des questions,je suis ni bon ni mauvais je demande simplement la question parfois juste un mot,groupe_5_part_2.txt
4: Stratégies d'utilisation et interaction avec ChatGPT**,2: Vérification des informations,je vais aller recouper les sources,groupe_5_part_2.txt
4: Stratégies d'utilisation et interaction avec ChatGPT**,3: Adaptation aux réponses de ChatGPT,j'adapte en fonction,groupe_5_part_2.txt
5: Éthique et préoccupations liées à ChatGPT**,1: Préoccupation éthique,"les problèmes d'éthique, les problèmes de plagiat, les problèmes de pas citer les sources",groupe_5_part_2.txt
5: Éthique et préoccupations liées à ChatGPT**,2: Collecte de données,le proﬁlage c'est quelque chose qui est assez discret mais chatGPT n'a pas un business plan qui est clair et pourtant c'est gratuit et ça reste quand même des gens qui collectent des informations extrêmement précises sur tout,groupe_5_part_2.txt
5: Éthique et préoccupations liées à ChatGPT**,3: Nécessité d'un modèle dédié pour l'académie,il faut des outils encore plus dédiés... un 'chatGPT académique',groupe_5_part_2.txt
1: L'expérience initiale avec ChatGPT**,1: Enthousiasme initial,c'est une technologie presque miraculeuse et qu'elle a réponse à tout,groupe_5_part_3.txt
1: L'expérience initiale avec ChatGPT**,2: Découverte des limites,je me suis déjà retrouvé à perdre presque une demi-journée à chercher un truc,groupe_5_part_3.txt
1: L'expérience initiale avec ChatGPT**,3: Révision de l'utilisation,c'est à partir de ce moment-là que j'ai revu ma façon de l'utiliser,groupe_5_part_3.txt
2: L'aide à la compréhension des sujets**,1: Vulgarisation,quand on lui demande de vulgariser un principe... il arrive à simplifier le concept,groupe_5_part_3.txt
2: L'aide à la compréhension des sujets**,2: Meilleure compréhension,ça me permet de mieux comprendre mon cours par la suite,groupe_5_part_3.txt
2: L'aide à la compréhension des sujets**,3: Utilisation efficace,je suis passé maître dans l'art du prompt,groupe_5_part_3.txt
3: Les erreurs et les hallucinations de ChatGPT**,1: Exemple d'absurdité,l'exemple populaire de la question 'qui est le plus grand entre un œuf de vache et un œuf de poule ?',groupe_5_part_3.txt
3: Les erreurs et les hallucinations de ChatGPT**,2: Réponse erronée,il a répondu que c'était l'œuf de vache… avec des arguments en plus !,groupe_5_part_3.txt
3: Les erreurs et les hallucinations de ChatGPT**,3: Hallucinations,"il m'a fait perdre presque deux jours, en me sortant des hallucinations sur l'intelligence artificielle",groupe_5_part_3.txt
4: La fiabilité et la vérification**,1: Vérification des sources,je lui demande toujours de citer ses sources et je clique sur le lien pour vérifier,groupe_5_part_3.txt
4: La fiabilité et la vérification**,2: Critique des informations,je n'inclus pas son contenu dans mon travail sans avoir vérifié si l’information est fiable ou non,groupe_5_part_3.txt
4: La fiabilité et la vérification**,3: Évaluation de la qualité des réponses,"il y a deux cas de figure. Quand c'est moi qui lui fournis un premier résultat, il arrive à l'améliorer",groupe_5_part_3.txt
5: L'impact de ChatGPT sur les pratiques d'apprentissage futures**,1: Révolution dans l'apprentissage,je pense que l’apprentissage va être révolutionné,groupe_5_part_3.txt
5: L'impact de ChatGPT sur les pratiques d'apprentissage futures**,2: Applications dans l'apprentissage des langues,des applications d’apprentissage de langues se servir de ChatGPT,groupe_5_part_3.txt
5: L'impact de ChatGPT sur les pratiques d'apprentissage futures**,3: Assistance personnalisée,un assistant IA pourra aider des élèves de primaire ou de collège à faire leurs devoirs,groupe_5_part_3.txt
