Thème,Code,Verbatim,Fichier
1: Utilisation et perception de ChatGPT**,1: Utilisation de ChatGPT pour la recherche d'informations,"rien que sur une théorie, j'aurais dû faire peut-être 30 minutes de recherche pour bien comprendre ce que l'auteur voulait dire alors que là avec ChatGPT en 10 minutes on comprend quoi",groupe_2_part_3.txt
1: Utilisation et perception de ChatGPT**,2: Gain de temps dans la recherche,en 10 minutes on comprend quoi,groupe_2_part_3.txt
1: Utilisation et perception de ChatGPT**,3: Perception de la qualité de ChatGPT,je mettrai 9 sur 10 je pense en termes de recherche d'info,groupe_2_part_3.txt
2: Impact de ChatGPT sur l'apprentissage et la recherche**,4: Impact sur la compréhension,on comprend quoi,groupe_2_part_3.txt
2: Impact de ChatGPT sur l'apprentissage et la recherche**,5: Utilisation de ChatGPT pour des tâches spécifiques,je lui ai demandé de faire la biographie d'un auteur,groupe_2_part_3.txt
2: Impact de ChatGPT sur l'apprentissage et la recherche**,6: Satisfaction du résultat sans apprentissage,"Donc bah je l'ai utilisé, je l'ai mis dans mon rendu, j'ai rendu mon papier et voilà",groupe_2_part_3.txt
3: Légitimité et limites de ChatGPT**,7: Perception de la légitimité de ChatGPT,Je pense qu'elle est légitime pour toutes les matières,groupe_2_part_3.txt
3: Légitimité et limites de ChatGPT**,8: Limitations de ChatGPT,il ne créera jamais quelque chose,groupe_2_part_3.txt
3: Légitimité et limites de ChatGPT**,9: Nécessité d'une utilisation responsable,c'est justement ce qu'on attend alors que ChatGPT non,groupe_2_part_3.txt
4: Intégration de ChatGPT dans les études et la recherche**,10: Utilisation de ChatGPT comme outil d'accompagnement,il m'accompagne oui,groupe_2_part_3.txt
4: Intégration de ChatGPT dans les études et la recherche**,11: Encadrement de l'utilisation de ChatGPT par les enseignants,les profs nous ils nous encouragent pas à le faire mais ils savent qu'on le fait et ça les dérange pas plus que ça,groupe_2_part_3.txt
4: Intégration de ChatGPT dans les études et la recherche**,12: Développement de l'esprit critique face aux outils numériques,"vos critiques à vous bah elles sont meilleures que les critiques de ChatGPT parce que vous, vous avez un bagage universitaire",groupe_2_part_3.txt
1: Perception et utilisation de ChatGPT**,1: Utilisation réfléchie,ça me fait aussi réfléchir à ma propre utilisation,groupe_2_part_4.txt
1: Perception et utilisation de ChatGPT**,2: Prise de conscience de la dépendance,surtout quand tu as parlé de dépendance je pense que c'est pas... je le percevais pas forcément comme ça,groupe_2_part_4.txt
1: Perception et utilisation de ChatGPT**,3: Impact sur la rédaction et la réflexion académique,"comme une manière de présenter ChatGPT comme un outil, savoir ce qui peut être utile pour accompagner un processus de rédaction ou de réflexion académique",groupe_2_part_4.txt
1: Perception et utilisation de ChatGPT**,4: Réflexion sur l'approche personnelle,Je pense que ça m'amène aussi un peu à préciser mon approche et à mieux définir ce que j'en fais,groupe_2_part_4.txt
1: Perception et utilisation de ChatGPT**,5: Sentiment de gain de temps,"j'ai l'impression, en le faisant, et donc ça me fait avancer",groupe_2_part_4.txt
2: Légitimité et éthique de l'utilisation de ChatGPT**,1: Perception de la légitimité,Pas toujours.,groupe_2_part_4.txt
