Thème,Code,Verbatim,Fichier
X : Titre,X : Nom du code,citation exacte,groupe_6_part_1.txt
1: Contexte et Perception de ChatGPT**,1: Définition de l'intelligence artificielle,l'intelligence artificielle c'est un outil qui a pu se développer lui-même et imiter l'intelligence humaine,groupe_6_part_2.txt
1: Contexte et Perception de ChatGPT**,2: Perception de ChatGPT,on était tout fasciné,groupe_6_part_2.txt
1: Contexte et Perception de ChatGPT**,3: Contexte d'utilisation,j'ai étudié dans un contexte international au Maroc et en France,groupe_6_part_2.txt
2: Utilisation de ChatGPT dans le Travail Académique**,4: Utilisation de ChatGPT pour les tâches académiques,on faisait recours à ChatGPT pour nous aider à reformuler et adopter un style plus académique,groupe_6_part_2.txt
2: Utilisation de ChatGPT dans le Travail Académique**,5: Impact sur les résultats,toute la classe a délivré le même résultat,groupe_6_part_2.txt
2: Utilisation de ChatGPT dans le Travail Académique**,6: Fréquence d'utilisation,je dirais qu'on ne faisait pas souvent recours à ChatGPT,groupe_6_part_2.txt
3: Intégrité Académique et Risques**,7: Intégrité académique,On doit adopter toute l'intégrité académique lors de la réalisation de n'importe quel travail académique,groupe_6_part_2.txt
3: Intégrité Académique et Risques**,8: Risque de plagiat,ChatGPT peut facilement nous faire tomber dans le plagiat,groupe_6_part_2.txt
3: Intégrité Académique et Risques**,9: Nécessité de réglementation,il faut cadrer l'usage de ChatGPT académiquement parlant,groupe_6_part_2.txt
4: Impact sur l'Apprentissage et la Productivité**,10: Gain de productivité,ses capacités qui dépassent celles d'un être humain en termes de rapidité de traitement de l'information,groupe_6_part_2.txt
4: Impact sur l'Apprentissage et la Productivité**,11: Impact sur l'apprentissage,"Le but de l'apprentissage, c'est de faire des fautes",groupe_6_part_2.txt
4: Impact sur l'Apprentissage et la Productivité**,12: Simplification des concepts,"il a cette capacité de simplifier les concepts, d'expliquer et d'aborder des sujets d'une manière humaine, très simplifiée",groupe_6_part_2.txt
5: Réflexion et Débat sur l'Utilisation de ChatGPT**,13: Réflexion sur l'utilisation de ChatGPT,"quand est-ce qu'on va faire notre propre travail nous-mêmes, en utilisant notre propre cerveau ?",groupe_6_part_2.txt
5: Réflexion et Débat sur l'Utilisation de ChatGPT**,14: Débat sur la légitimité,"Tout dépend, euh, quand il s'agit d'un travail de réflexion pure, ce n'est pas légitime",groupe_6_part_2.txt
5: Réflexion et Débat sur l'Utilisation de ChatGPT**,15: Nécessité d'une analyse continue,"on doit vraiment le saisir, saisir son impact d’une manière constante",groupe_6_part_2.txt
1: Confiance et perception de ChatGPT**,1: Sentiment de compétence,je saurai m’y retrouver,groupe_6_part_3.txt
1: Confiance et perception de ChatGPT**,2: Perception de l'outil,c'est un peu comme un outil de plus,groupe_6_part_3.txt
1: Confiance et perception de ChatGPT**,3: Utilisation comme habitude,je me tourne directement vers l’outil,groupe_6_part_3.txt
