Thème,Code,Verbatim,Fichier
1: Utilisation de ChatGPT pour la productivité académique**,1: Utilité de ChatGPT pour organiser les notes de cours,j’ai demandé à ChatGPT de me faire un tableau où je lui demande de quoi mettre à l’intérieur,groupe_3_part_3.txt
1: Utilisation de ChatGPT pour la productivité académique**,2: Gain de temps grâce à ChatGPT,"ça me fait vraiment gagner du temps, quoi",groupe_3_part_3.txt
1: Utilisation de ChatGPT pour la productivité académique**,3: Simplification du travail académique,ça m’amène à ne faire que l’essentiel et à ne faire que ce qui me sert vraiment,groupe_3_part_3.txt
1: Utilisation de ChatGPT pour la productivité académique**,4: Préférence pour la création de tableaux,"Moi, j’aime bien les tableaux",groupe_3_part_3.txt
1: Utilisation de ChatGPT pour la productivité académique**,5: Limitations de la création autonome de tableaux,"si je fais le tableau moi-même, ça ne va pas être énorme",groupe_3_part_3.txt
1: Utilisation de ChatGPT pour la productivité académique**,6: Utilisation de ChatGPT pour une vision globale,avoir une vision un peu globale de mon cours,groupe_3_part_3.txt
1: Utilisation de ChatGPT pour la productivité académique**,7: Facilité de travail après utilisation de ChatGPT,"une fois que j’ai tout dans un tableau, à le travailler plus vite",groupe_3_part_3.txt
1: Utilisation de ChatGPT pour la productivité académique**,8: Réduction du temps passé sur la formalisation,on prend du temps avec tout ce qui est la formalisation et tout ça,groupe_3_part_3.txt
1: Utilisation de ChatGPT pour la productivité académique**,9: Efficacité après la mise en place,"une fois que c’est fait, je peux juste travailler",groupe_3_part_3.txt
1: Utilisation de ChatGPT pour la productivité académique**,10: Satisfaction globale avec l'usage de ChatGPT,"Donc, ça me fait vraiment gagner du temps, quoi",groupe_3_part_3.txt
2: Perception de la légitimité de ChatGPT dans les travaux académiques**,1: Utilité conditionnelle de ChatGPT,"c’est que, juste, en fait, elle est pas utile",groupe_3_part_3.txt
2: Perception de la légitimité de ChatGPT dans les travaux académiques**,2: Accès universel à ChatGPT,"tout le monde y a accès, et le professeur également",groupe_3_part_3.txt
2: Perception de la légitimité de ChatGPT dans les travaux académiques**,3: Utilisation pertinente pour les tâches standardisées,si on demande aux élèves de faire un travail hyper standardisé,groupe_3_part_3.txt
2: Perception de la légitimité de ChatGPT dans les travaux académiques**,4: Manque de légitimité pour les tâches personnalisées,si on nous demande vraiment d’avoir notre avis à nous et de faire un peu ce qu’on veut,groupe_3_part_3.txt
2: Perception de la légitimité de ChatGPT dans les travaux académiques**,5: Dépendance à la manière dont le professeur utilise ChatGPT,ça dépend aussi de comment le prof l’amène et ce qu’attend le prof,groupe_3_part_3.txt
2: Perception de la légitimité de ChatGPT dans les travaux académiques**,6: Critique de l'enseignement standardisé,ça veut dire aussi que c’est pas le bon enseignement,groupe_3_part_3.txt
2: Perception de la légitimité de ChatGPT dans les travaux académiques**,7: Valeur accordée à la liberté académique,on est hyper libres dans la manière de travailler,groupe_3_part_3.txt
2: Perception de la légitimité de ChatGPT dans les travaux académiques**,8: Travail personnalisé,"c’est ce qu’on va rendre, et souvent, c’est très personnalisé",groupe_3_part_3.txt
2: Perception de la légitimité de ChatGPT dans les travaux académiques**,9: Inadéquation de ChatGPT pour les tâches personnalisées,ChatGPT est vraiment peu pertinent là-dedans et peu légitime,groupe_3_part_3.txt
2: Perception de la légitimité de ChatGPT dans les travaux académiques**,10: Privilège de travailler de manière autonome,c’est un peu le privilège que j’ai dans cette école-là,groupe_3_part_3.txt
3: Conditions d'une utilisation légitime de ChatGPT**,1: Utilisation acceptable pour certaines tâches,si on nous pose une question du genre : « Qu’est-ce que tu penses de ça ? »,groupe_3_part_3.txt
3: Conditions d'une utilisation légitime de ChatGPT**,2: Importance de la personnalisation dans les devoirs,on nous demande vraiment d’avoir notre avis à nous,groupe_3_part_3.txt
3: Conditions d'une utilisation légitime de ChatGPT**,3: Limitations de ChatGPT pour les tâches nécessitant une réflexion personnelle,"grosso modo, ce que va dire ChatGPT, tout le monde y a accès",groupe_3_part_3.txt
3: Conditions d'une utilisation légitime de ChatGPT**,4: Inadéquation pour les tâches où la réflexion personnelle est attendue,si on attend vraiment une réponse de ce qu’eux pensent,groupe_3_part_3.txt
3: Conditions d'une utilisation légitime de ChatGPT**,5: Adéquation pour les tâches standardisées,"faire un travail hyper standardisé, bah là, euh… faire ChatGPT, quoi",groupe_3_part_3.txt
3: Conditions d'une utilisation légitime de ChatGPT**,6: Condition de légitimité liée à la nature de la tâche,ça dépend aussi de comment le prof l’amène,groupe_3_part_3.txt
3: Conditions d'une utilisation légitime de ChatGPT**,7: Valeur accordée à la réflexion personnelle,"qu’importe si c’est bien rédigé, qu’importe si c’est assez long",groupe_3_part_3.txt
3: Conditions d'une utilisation légitime de ChatGPT**,8: Utilisation de ChatGPT pour les tâches répétitives ou de synthèse,j’ai demandé à ChatGPT de me faire un tableau,groupe_3_part_3.txt
3: Conditions d'une utilisation légitime de ChatGPT**,9: Nécessité de surmonter les réticences,"pas avoir cette réticence aussi forte, et juste le prendre, le prendre aussi",groupe_3_part_3.txt
3: Conditions d'une utilisation légitime de ChatGPT**,10: Exploration des possibilités,voir comment ça…,groupe_3_part_3.txt
4: Impact de ChatGPT sur les pratiques académiques et identité disciplinaire**,1: Changement dans la manière d'aborder les tâches académiques,ça m’amène à ne faire que l’essentiel,groupe_3_part_3.txt
4: Impact de ChatGPT sur les pratiques académiques et identité disciplinaire**,2: Gain de productivité,ça me fait vraiment gagner du temps,groupe_3_part_3.txt
4: Impact de ChatGPT sur les pratiques académiques et identité disciplinaire**,3: Impact sur la qualité du travail,ça ne va pas être énorme,groupe_3_part_3.txt
4: Impact de ChatGPT sur les pratiques académiques et identité disciplinaire**,5: Adaptation à la liberté académique,on travaille vraiment sur ce qu’on veut,groupe_3_part_3.txt
4: Impact de ChatGPT sur les pratiques académiques et identité disciplinaire**,6: Changement dans la formalisation du travail,on prend du temps avec tout ce qui est la formalisation,groupe_3_part_3.txt
4: Impact de ChatGPT sur les pratiques académiques et identité disciplinaire**,7: Crise d'identité des sciences sociales,"on a beaucoup de mal, en sciences sociales, à se définir comme science",groupe_3_part_3.txt
4: Impact de ChatGPT sur les pratiques académiques et identité disciplinaire**,8: Perception de l'IA comme une menace,"amener une IA, ça peut mettre en danger ça",groupe_3_part_3.txt
4: Impact de ChatGPT sur les pratiques académiques et identité disciplinaire**,9: Légitimité de la peur,qui peut être légitime,groupe_3_part_3.txt
4: Impact de ChatGPT sur les pratiques académiques et identité disciplinaire**,10: Nécessité de dépasser cette peur,mais c’est justement prendre le dessus là-dessus,groupe_3_part_3.txt
1: Utilisation de ChatGPT dans l'apprentissage et l'enseignement**,1: Utilité de ChatGPT pour la compréhension,"si un outil peut m'aider à déchiffrer ça, je ne me gêne pas.",groupe_3_part_5.txt
1: Utilisation de ChatGPT dans l'apprentissage et l'enseignement**,2: Utilisation de ChatGPT pour la planification et l'organisation,"une sorte de brainstorming en gros, pour peut-être établir un plan",groupe_3_part_5.txt
