Entretien,Thème,Code,Verbatim,Fichier
Lau10,Attitudes des professeurs et de l'institution envers ChatGPT,Utilisation de ChatGPT par les professeurs,"""J'ai une prof à oui, à fond, et qui nous dit franchement faites pareil.""",Lau10_segment_8.txt
Lau10,Attitudes des professeurs et de l'institution envers ChatGPT,Crainte de la part des professeurs concernant le remplacement par les machines,"""Il y a aussi des profs qui au final sont des journalistes et donc peut-être qu'il y a toujours cette... un peu peur de... que la machine remplace l'homme.""",Lau10_segment_8.txt
Lau10,Attitudes des professeurs et de l'institution envers ChatGPT,Différences générationnelles dans l'acceptation de la technologie,"""Il y a aussi quand même les profs un peu plus vieux qui sont peut-être pas habitués.""",Lau10_segment_8.txt
Lau10,Attitudes des professeurs et de l'institution envers ChatGPT,Encadrement de l'utilisation de ChatGPT par les institutions,"""Je trouve ça bien qu'il y ait quand même un cadre qui soit donné si tout d'un coup on a envie, voire besoin d'utiliser l'IA.""",Lau10_segment_8.txt
Lau10,Attitudes des professeurs et de l'institution envers ChatGPT,Liberté laissée aux étudiants d'utiliser ou non ChatGPT,"""En fait chacun est libre de faire comme il veut.""",Lau10_segment_8.txt
Lau10,Attitudes des professeurs et de l'institution envers ChatGPT,Intégration de l'IA dans les études de journalisme,"""Il y a quand même un lien très fort entre mes études et les médias, donc forcément qu'on étudie aussi comment est-ce que l'IA est utilisé dans les médias.""",Lau10_segment_8.txt
Lau10,Attitudes des professeurs et de l'institution envers ChatGPT,Positionnement des universités sur l'utilisation de l'IA,"""Je pense que c'est aussi grâce au fait que les unis se positionnent par rapport à l'IA.""",Lau10_segment_8.txt
Lau10,Attitudes des professeurs et de l'institution envers ChatGPT,Utilisation explicite de l'IA dans les travaux demandés,"""Cette année, oui, avec le prof pour Excel.""",Lau10_segment_8.txt
Lau10,Attitudes des professeurs et de l'institution envers ChatGPT,Perception de l'utilité de l'encadrement institutionnel,"""Je trouve ça bien qu'il y ait quand même un cadre qui soit donné.""",Lau10_segment_8.txt
Lau10,Attitudes des professeurs et de l'institution envers ChatGPT,Influence de l'institution sur l'utilisation de ChatGPT,"""Les unis et les médias aussi, parce qu'il y a quand même un lien très fort entre mes études et les médias.""",Lau10_segment_8.txt
Lau10,Contexte d'utilisation de Chat-GPT**,"""Trouver un titre pour un article""","""Trouve un titre pour un article journalistique sur une exposition immersive Tintin, l'aventure immersive.""",Lau10_segment_3.txt
Lau10,Contexte d'utilisation de Chat-GPT**,"""Besoin d'aide pour une tâche spécifique""","""J'ai fait un reportage l'année dernière sur l'exposition immersive à Beaulieu, à Lausanne, et je voulais trouver un titre.""",Lau10_segment_3.txt
Lau10,Contexte d'utilisation de Chat-GPT**,"""Utilisation pour clarifier des consignes""","""Un commentaire analytique, c'est parce que j'avais eu un cours sur ça et j'étais pas sûre de la structure que je devais avoir dans…""",Lau10_segment_3.txt
Lau10,Contexte d'utilisation de Chat-GPT**,"""Raisons de l'utilisation de Chat-GPT""","""Au lieu d'envoyer un mail au prof, je teste voir si Chat-GPT pourrait me donner une réponse.""",Lau10_segment_3.txt
Lau10,Contextualisation de l'utilisation des IA**,Influence du contexte académique,"""Les profs nous conseillent d'utiliser certaines IA.""",Lau10_segment_1.txt
Lau10,Contextualisation de l'utilisation des IA**,Type de tâches académiques,"""C'est plus de la reformulation de titres, des synonymes.""",Lau10_segment_1.txt
Lau10,Contextualisation de l'utilisation des IA**,Impact sur le travail académique,"""Ça peut être utile.""",Lau10_segment_1.txt
Lau10,Contextualisation de l'utilisation des IA**,Perception de l'utilité,"""Je me rendais compte que ça pouvait être utile.""",Lau10_segment_1.txt
Lau10,Contextualisation de l'utilisation des IA**,Exploration d'autres outils,"""J'utilise aussi NotebookLM.""",Lau10_segment_1.txt
Lau10,Contextualisation de l'utilisation des IA**,Compréhension des limites,"""Je ne sais pas si c'est vrai, mais j'ai l'impression que Claude fait moins d'erreurs.""",Lau10_segment_1.txt
Lau10,Contextualisation de l'utilisation des IA**,Facteurs influençant le choix d'un outil,"""C'est vraiment une préférence de Claude, notamment pour les réponses.""",Lau10_segment_1.txt
Lau10,Contextualisation de l'utilisation des IA**,Changement dans les pratiques,"""J'ai commencé à diversifier mes pratiques.""",Lau10_segment_1.txt
Lau10,Contextualisation de l'utilisation des IA**,Rôle de l'expérience,"""J'ai testé, mais je ne l'ai pas utilisée pour les cours au début.""",Lau10_segment_1.txt
Lau10,Contextualisation de l'utilisation des IA**,Évolution future,(à compléter en fonction de la suite de l'entretien ou de la réponse de SPEAKER_02),Lau10_segment_1.txt
Lau10,Découverte et évolution de l'utilisation des IA**,Moment de la découverte,"""Il me semble que ça a commencé en 2022, en décembre.""",Lau10_segment_1.txt
Lau10,Découverte et évolution de l'utilisation des IA**,Moyen de découverte,"""J'ai vu la RTS, des sujets RTS sur Instagram qui parlaient de ça.""",Lau10_segment_1.txt
Lau10,Découverte et évolution de l'utilisation des IA**,Contexte universitaire,"""J'étais encore en bachelor à Lausanne.""",Lau10_segment_1.txt
Lau10,Découverte et évolution de l'utilisation des IA**,Première utilisation,"""C'était juste pour tester, un peu comme Siri, en fait.""",Lau10_segment_1.txt
Lau10,Découverte et évolution de l'utilisation des IA**,Évolution de l'utilisation,"""Maintenant, ce n'est pas croissant, voire plutôt décroissant.""",Lau10_segment_1.txt
Lau10,Découverte et évolution de l'utilisation des IA**,Diversification,"""J'ai commencé à diversifier mes pratiques à partir de cette année, donc 2024.""",Lau10_segment_1.txt
Lau10,Découverte et évolution de l'utilisation des IA**,Influence des médias et du contexte universitaire,"""Les profs, en tout cas pour l'université de Neuchâtel, ils sont assez au courant de tout ça.""",Lau10_segment_1.txt
Lau10,Découverte et évolution de l'utilisation des IA**,Rôle des professeurs,"""On nous conseille des fois d'utiliser certaines...""",Lau10_segment_1.txt
Lau10,Découverte et évolution de l'utilisation des IA**,Exploration de différentes IA,"""J'utilise Claude, Gemini, Perplexity...""",Lau10_segment_1.txt
Lau10,Découverte et évolution de l'utilisation des IA**,Adaptation aux tâches,"""C'est au cas par cas.""",Lau10_segment_1.txt
Lau10,Dépendance à ChatGPT et perception de son impact,Perception de la dépendance à ChatGPT,"""Non, je pense que tout le monde utilise ChatGPT et comme les deux profs de cette année mais aussi de l'année dernière, ils sont eux-mêmes et elles-mêmes transparents, sur leur utilisation.""",Lau10_segment_8.txt
Lau10,Dépendance à ChatGPT et perception de son impact,Raisons de ne pas ressentir de dépendance,"""C'est vraiment une aide et j'ai l'impression, je vais pas parler au nom des autres gens de ma classe, mais j'ai quand même l'impression qu'on l'utilise plus ou moins tous et toutes.""",Lau10_segment_8.txt
Lau10,Dépendance à ChatGPT et perception de son impact,Conscience de l'existence d'autres moyens,"""On a un peu aussi été un peu baigné dans tout ça quoi. Ouais, on a grandi avec la technologie.""",Lau10_segment_8.txt
Lau10,Dépendance à ChatGPT et perception de son impact,Perception de la technologie comme un outil,"""C'est vraiment une aide.""",Lau10_segment_8.txt
Lau10,Dépendance à ChatGPT et perception de son impact,Évaluation de l'impact de ChatGPT sur les compétences,"""Ça peut être vachement utile pour le journalisme et même pour d'autres types de métiers.""",Lau10_segment_8.txt
Lau10,Dépendance à ChatGPT et perception de son impact,Comparaison avec d'autres outils,"""On est aussi un peu tous curieux de comprendre. Et donc quand on comprend, on voit assez rapidement que ça va pas nous remplacer.""",Lau10_segment_8.txt
Lau10,Dépendance à ChatGPT et perception de son impact,Acceptation de la limite de ChatGPT,"""Mais en même temps c'est ce que je lui demande de faire donc ça me paraît ok.""",Lau10_segment_8.txt
Lau10,Dépendance à ChatGPT et perception de son impact,Utilisation en connaissance de cause,"""On sait que c'est pas terrible au niveau de la vérité, au niveau de la véracité.""",Lau10_segment_8.txt
Lau10,Dépendance à ChatGPT et perception de son impact,Pas de sentiment de honte à utiliser ChatGPT,"""Bah ça nous permet de se dire en fait tout le monde l'utilise, c'est pas trop grave.""",Lau10_segment_8.txt
Lau10,Dépendance à ChatGPT et perception de son impact,Prise de conscience de la superficialité de certaines interactions,"""Oui, c'est assez en surface.""",Lau10_segment_8.txt
Lau10,Evolution et normalisation de l'utilisation de l'IA,Evolution vers une utilisation plus transparente,"""De plus en plus, ça va être demandé aux élèves de noter ça.""",Lau10_segment_9.txt
Lau10,Evolution et normalisation de l'utilisation de l'IA,Normalisation dans les pratiques académiques,"""Justement dans la charte de l'Uni de Neuchâtel, ils nous expliquent pourquoi c'est important aussi d'être transparent.""",Lau10_segment_9.txt
Lau10,Evolution et normalisation de l'utilisation de l'IA,Changement dans les mentalités,"""Je pense qu'il y a aussi... même si on l'utilise pas forcément pour des faits""",Lau10_segment_9.txt
Lau10,Evolution et normalisation de l'utilisation de l'IA,Adoption dans le milieu universitaire,"""Là, par exemple, j'ai vu qu'à la fin des textes il y avait des mentions l'IA a été utilisé pour pour résumer ou pour la partie n'importe quoi.""",Lau10_segment_9.txt
Lau10,Evolution et normalisation de l'utilisation de l'IA,Discussions autour de l'utilisation de l'IA,"""Et en même temps, c'est contradictoire ce que je vais dire, mais en même temps si on écrit un texte sur Google Docs ou sur Word, et qu'on le fait corriger grammaticalement.""",Lau10_segment_9.txt
Lau10,Evolution et normalisation de l'utilisation de l'IA,Intégration progressive,"""Il y a un sort de continuum entre justement dire que j'ai utilisé un synonyme... ou j'ai complètement reformulé tout ce texte avec l'IA""",Lau10_segment_9.txt
Lau10,Evolution et normalisation de l'utilisation de l'IA,Débat sur la définition de l'utilisation de l'IA,"""Quand est-ce qu'on dit qu'on a utilisé l'IA ou pas ?""",Lau10_segment_9.txt
Lau10,Evolution et normalisation de l'utilisation de l'IA,Evolution des pratiques journalistiques,"""Au niveau des médias et au niveau des produits et des contenus journalistiques que je peux produire dans le cadre de mon master""",Lau10_segment_9.txt
Lau10,Evolution et normalisation de l'utilisation de l'IA,Conscience des implications,"""Toutes les intelligences artificielles sont basées sur un modèle humain qui comporte des biais""",Lau10_segment_9.txt
Lau10,Evolution et normalisation de l'utilisation de l'IA,Réflexion sur les limites,"""Est-ce que c'est... Pour trouver des synonymes, est-ce que c'est important de le noter ?""",Lau10_segment_9.txt
Lau10,Fiabilité et vérification des informations**,"""Méfiance envers la véracité des informations""","""Je me suis quand même toujours méfiée sur la véracité de ce qu'il raconte.""",Lau10_segment_3.txt
Lau10,Fiabilité et vérification des informations**,"""Vérification des informations""","""Le truc c'est que j'ai pas non plus des compétences, enfin on a tous des compétences, que ce soit historique ou pas, je ne suis pas non plus experte.""",Lau10_segment_3.txt
Lau10,Fiabilité et vérification des informations**,"""Limitations de la vérification""","""Pour moi, c'est plus difficile de faire confiance à Chat-GPT ou à Claude, à n'importe quelle intelligence artificielle, quand il faut se baser sur les réponses où je ne peux pas les vérifier.""",Lau10_segment_3.txt
Lau10,Fiabilité et vérification des informations**,"""Objectif de la tâche""","""Et j'ai l'impression que pour un titre, on s'en fiche si c'est vérifiable ou pas, le but c'est de cliquer et d’attirer le lecteur.""",Lau10_segment_3.txt
Lau10,Formation et Prise de Conscience,Importance d'un cours sur l'utilisation de l'IA,"""rendre un cours obligatoire sur l'utilisation, sur les enjeux, les biais""",Lau10_segment_11.txt
Lau10,Formation et Prise de Conscience,Utilité d'un cours facultatif sur l'IA,"""le cours que j'ai eu, c'était un cours facultatif""",Lau10_segment_11.txt
Lau10,Formation et Prise de Conscience,Prise de conscience des limites et des biais,"""être conscient des limites et des biais""",Lau10_segment_11.txt
Lau10,Formation et Prise de Conscience,Nécessité d'une formation sur l'IA,"""c'est quelque chose qui peut vraiment aider les pratiques""",Lau10_segment_11.txt
