Entretien,Thème,Code,Verbatim,Fichier
D2SN8,Confiance dans la technologie,1: Sentiment de compétence,je saurai m’y retrouver,D2SN8_segment_2.txt
D2SN8,Confiance dans la technologie,2: Familiarité avec les chat conversationnels,les chat conversationnel il y en avait déjà dans ce type sur internet,D2SN8_segment_2.txt
D2SN8,Confiance dans la technologie,3: Perception de la nouveauté,j’ai un peu l’impression de retrouver ça en version 6.0,D2SN8_segment_2.txt
D2SN8,Confiance dans la technologie,4: Utilisation des outils numériques,je dirais pas que je suis perdue si on me donne un nouveau téléphone ou un ordi,D2SN8_segment_2.txt
D2SN8,Confiance dans la technologie,5: Age et technologie,je suis encore un peu trop jeune pour être dépassée par les nouvelles technologies,D2SN8_segment_2.txt
D2SN8,Usage de ChatGPT pour l'aide à la rédaction et la compréhension,1: Structuration des idées,Je l’utilise principalement pour structurer mes idées,D2SN8_segment_2.txt
D2SN8,Usage de ChatGPT pour l'aide à la rédaction et la compréhension,2: Reformulation de passages,reformuler certains passages de mes écrits,D2SN8_segment_2.txt
D2SN8,Usage de ChatGPT pour l'aide à la rédaction et la compréhension,3: Vérification de la compréhension,vérifier ma compréhension d’un auteur ou d’une théorie,D2SN8_segment_2.txt
D2SN8,Usage de ChatGPT pour l'aide à la rédaction et la compréhension,4: Rédaction de mails professionnels,Je l’utilise aussi pour m’aider à rédiger des mails pro,D2SN8_segment_2.txt
D2SN8,Usage de ChatGPT pour l'aide à la rédaction et la compréhension,5: Limite de l'utilisation de ChatGPT,je l’utilise rarement pour rédiger directement mes travaux,D2SN8_segment_2.txt
D2SN8,Impact sur la méthode de travail,1: Changement dans l'organisation,ça a quand même beaucoup changé ma manière de travailler,D2SN8_segment_2.txt
D2SN8,Impact sur la méthode de travail,2: Modification de la prévoyance,j’ai tendance à être plus à la cool,D2SN8_segment_2.txt
D2SN8,Impact sur la méthode de travail,3: Perception de la qualité du travail,"je pense pas que ça ait tant modifié mon travail que ça, en tout cas dans le fond",D2SN8_segment_2.txt
