Entretien,Thème,Code,Verbatim,Fichier
LAU10,1: Transparence et responsabilité dans l'utilisation de Chat-GPT,1: Définition de la transparence,"être transparent, ça veut tout et rien dire",Lau10_segment_10.txt
LAU10,1: Transparence et responsabilité dans l'utilisation de Chat-GPT,2: Pratique de notation de l'utilisation de Chat-GPT,je l'ai fait la première fois avec justement le truc du mémoire,Lau10_segment_10.txt
LAU10,1: Transparence et responsabilité dans l'utilisation de Chat-GPT,3: Responsabilité de l'utilisateur,on est quand même responsable,Lau10_segment_10.txt
LAU10,1: Transparence et responsabilité dans l'utilisation de Chat-GPT,4: Limite subjective de transparence,c'est une limite subjective que tu t'es imposée ?,Lau10_segment_10.txt
LAU10,1: Transparence et responsabilité dans l'utilisation de Chat-GPT,5: Variation de pratique selon le contexte,"au niveau professionnel, quand je retranscris des audios ou des vidéos pour aller plus vite dans la rédaction de l'article, je le mets pas",Lau10_segment_10.txt
LAU10,1: Transparence et responsabilité dans l'utilisation de Chat-GPT,6: Évolution de la pratique,je pense que je vais commencer à le faire parce qu'il faut être transparent,Lau10_segment_10.txt
LAU10,1: Transparence et responsabilité dans l'utilisation de Chat-GPT,7: Perception de la transparence par les lecteurs,"ça questionne la valeur de Chat-GPT, de l'utilisation",Lau10_segment_10.txt
LAU10,1: Transparence et responsabilité dans l'utilisation de Chat-GPT,8: Chartes et règles pour l'utilisation de Chat-GPT,il y a des charts qui existent et qui disent... en tout cas dans les médias,Lau10_segment_10.txt
LAU10,1: Transparence et responsabilité dans l'utilisation de Chat-GPT,9: Responsabilité de la publication,même s'ils ont utilisé lire. Donc je pense que ces charts de médias doivent être les mêmes pour l'académie que pour le professionnel,Lau10_segment_10.txt
LAU10,1: Transparence et responsabilité dans l'utilisation de Chat-GPT,10: Signature et responsabilité,"si on signe de son nom ou de son pseudo ou n'importe, on est quand même responsable",Lau10_segment_10.txt
LAU10,2: Impact de Chat-GPT sur l'apprentissage et la rédaction,1: Perception de l'impact sur l'apprentissage,"est-ce qu'on parle justement... De plus en plus, on parle dans les... En tout cas, moi, dans mon groupe de travail avant, on parlait justement de l'utilisation des IA dans le travail académique",Lau10_segment_10.txt
LAU10,2: Impact de Chat-GPT sur l'apprentissage et la rédaction,2: Flemme réflexive,ça peut amener à une sorte de flemme réflexive,Lau10_segment_10.txt
LAU10,2: Impact de Chat-GPT sur l'apprentissage et la rédaction,3: Utilisation de Chat-GPT pour la formulation,"j'aime bien creuser des sujets, chercher... Alors oui, peut-être que j'ai la plume de chercher mille titres et que c'est plus facile de demander à Chat-GPT",Lau10_segment_10.txt
LAU10,2: Impact de Chat-GPT sur l'apprentissage et la rédaction,4: Valeur ajoutée par l'utilisation de Chat-GPT,"je considère pas que la valeur... Enfin, je suis pas sûre que trouver des titres, ça fait vraiment ce qui va me faire me démarquer",Lau10_segment_10.txt
LAU10,2: Impact de Chat-GPT sur l'apprentissage et la rédaction,5: Différence entre utilisation personnelle et professionnelle,"avec l'utilisation que j'en ai, c'est...",Lau10_segment_10.txt
LAU10,2: Impact de Chat-GPT sur l'apprentissage et la rédaction,6: Hypothèse sur l'absence de Chat-GPT,"si je n'avais pas Chat-GPT, en fait je ferais le même processus, c'est juste que je discuterais peut-être plus des sujets avec d'autres gens",Lau10_segment_10.txt
LAU10,2: Impact de Chat-GPT sur l'apprentissage et la rédaction,7: Perception de l'outil comme un plus,je le vois vraiment comme un plus,Lau10_segment_10.txt
LAU10,2: Impact de Chat-GPT sur l'apprentissage et la rédaction,8: Question sur la légitimité de l'utilisation,"est-ce que tu dirais qu'il y a des situations, des travaux où l'usage de cette société est plus légitime que d'autres ?",Lau10_segment_10.txt
LAU10,2: Impact de Chat-GPT sur l'apprentissage et la rédaction,9: Comparaison avec d'autres outils,"par exemple si on utilise Dipple pour traduire, c'est peut-être plus légitime d'utiliser un traducteur dans ce sens-là",Lau10_segment_10.txt
